operator_id,tariff_plan,num_missed_calls_in,avg_waiting_time_in,num_calls_out,complete_tasks,performance,rigor_complete_tasks
0,A,1203.0,364.86,0,False,0.52,False
0,B,2867.0,163.65,0,False,0.4,False
0,C,3466.0,125.04,0,False,0.35,False
879896,B,0.0,27.33,876,True,0.79,True
879898,B,0.0,29.47,7443,True,0.81,True
880020,B,0.0,7.71,46,True,0.8,True
880022,B,0.0,14.0,202,True,0.8,True
880026,B,0.0,7.94,2256,True,0.8,True
880028,B,0.0,8.37,2614,True,0.81,True
880240,other,,,48,False,,False
881278,other,,,20,False,,False
882476,C,0.0,31.67,0,True,0.79,True
882478,C,0.0,38.0,1,True,0.79,True
882680,B,3.0,37.0,0,True,0.79,False
882684,B,4.0,190.52,663,True,0.73,True
882686,B,3.0,170.65,2931,True,0.74,True
882688,B,0.0,336.5,43,True,0.67,True
882690,B,2.0,322.82,1521,True,0.68,True
883018,other,,,2,False,,False
883898,other,,,1,False,,False
883940,B,0.0,15.2,682,True,0.8,True
883942,B,0.0,15.51,2093,True,0.8,True
884294,A,0.0,6.0,0,True,0.8,True
884402,other,,,4,False,,False
884406,other,,,5,False,,False
884408,B,1.0,71.33,25,True,0.77,False
884412,B,0.0,46.88,775,True,0.78,True
884478,B,0.0,26.92,2295,True,0.8,True
884524,B,0.0,9.5,0,True,0.8,True
884946,C,0.0,22.71,1987,True,0.8,True
885682,other,,,3,False,,False
885876,A,15.0,102.5,62491,True,0.96,True
885890,A,16.0,126.45,61310,True,0.94,True
886146,A,0.0,9.0,51,True,0.8,True
886674,C,0.0,18.67,0,True,0.79,True
886892,C,0.0,58.0,0,True,0.78,True
887276,B,1.0,180.63,921,True,0.73,True
887278,B,0.0,37.46,260,True,0.79,True
887280,other,,,8,False,,False
887282,B,0.0,62.45,2375,True,0.78,True
887416,C,0.0,27.36,0,True,0.79,True
887802,B,0.0,34.83,123,True,0.79,True
887992,other,,,47,False,,False
888406,C,1.0,36.43,6,True,0.79,False
888520,C,0.0,18.8,0,True,0.79,True
888532,A,2.0,32.11,189,True,0.79,False
888534,A,1.0,49.51,319,True,0.78,False
888536,A,0.0,21.5,52,True,0.79,True
888538,A,0.0,24.0,5,True,0.79,True
888540,A,0.0,19.67,15,True,0.79,True
888868,B,0.0,32.33,54,True,0.79,True
889410,C,0.0,35.15,1038,True,0.79,True
889638,C,0.0,19.33,0,True,0.79,True
889640,C,0.0,13.5,0,True,0.8,True
889754,A,1.0,53.52,1259,True,0.78,True
890226,C,0.0,27.33,3,True,0.79,True
890228,C,1.0,17.33,86,True,0.79,True
890232,other,,,33,False,,False
890234,other,,,1,False,,False
890402,B,0.0,76.15,1292,True,0.77,True
890404,B,2.0,72.22,1406,True,0.78,True
890406,B,3.0,54.84,1240,True,0.78,True
890410,B,0.0,36.0,1288,True,0.79,True
890412,B,0.0,52.71,1147,True,0.78,True
890416,other,,,1304,True,,True
890420,other,,,721,True,,True
890422,other,,,446,False,,False
890582,C,1.0,32.65,63,True,0.79,False
890618,C,0.0,2.77,271,True,0.8,True
891152,other,,,282,False,,False
891154,other,,,547,False,,False
891156,other,,,20,False,,False
891158,other,,,270,False,,False
891160,other,,,372,False,,False
891162,other,,,107,False,,False
891166,other,,,241,False,,False
891170,other,,,204,False,,False
891192,other,,,1,False,,False
891250,other,,,2,False,,False
891252,other,,,93,False,,False
891254,B,0.0,26.0,0,True,0.79,True
891410,C,1.0,126.06,2851,True,0.76,True
891414,C,1.0,100.39,2635,True,0.77,True
891416,C,0.0,44.28,779,True,0.79,True
891646,B,0.0,23.43,0,True,0.79,True
891744,B,0.0,26.75,6,True,0.79,True
891746,other,,,33,False,,False
891824,B,0.0,27.86,32,True,0.79,True
891900,C,0.0,72.94,0,True,0.77,True
891906,C,0.0,61.45,0,True,0.78,True
891908,A,0.0,14.67,11,True,0.79,True
891918,A,0.0,31.2,1,True,0.79,True
891946,C,0.0,24.31,32,True,0.79,True
891948,C,0.0,3.0,0,True,0.8,True
891970,other,,,15,False,,False
891976,other,,,2,False,,False
891988,C,0.0,61.35,489,True,0.78,True
892028,other,,,1384,True,,True
892530,B,0.0,43.14,9,True,0.78,True
892532,B,0.0,66.54,95,True,0.77,True
892534,B,0.0,117.62,11,True,0.75,True
892536,B,0.0,52.91,17,True,0.78,True
892538,B,0.0,50.0,116,True,0.78,True
892798,A,0.0,43.0,36,True,0.78,True
892800,other,,,10,False,,False
893172,C,0.0,38.91,3,True,0.78,True
893400,C,0.0,19.5,3,True,0.79,True
893402,C,1.0,68.88,55,True,0.77,False
893420,C,1.0,82.76,31,True,0.77,False
893674,other,,,2599,True,,True
893700,other,,,6,False,,False
893804,C,8.0,117.35,3692,True,0.76,True
894120,C,1.0,47.56,0,True,0.78,False
894224,B,0.0,13.75,33,True,0.8,True
894226,other,,,25,False,,False
894230,B,0.0,45.5,15,True,0.78,True
894232,B,0.0,19.5,16,True,0.79,True
894614,B,1.0,19.17,0,True,0.79,True
